collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 13,TEAM,Team Photo,Team Photo,Team Photo,22,13,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 14,PLAYER,Érick Sánchez,Érick Sánchez,Érick Sánchez,23,14,Érick Sánchez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 15,PLAYER,Hirving Lozano,Hirving Lozano,Hirving Lozano,24,15,Hirving Lozano,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 16,PLAYER,Santiago Giménez,Santiago Giménez,Santiago Giménez,25,16,Santiago Giménez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 17,PLAYER,Raúl Jiménez,Raúl Jiménez,Raúl Jiménez,26,17,Raúl Jiménez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 18,PLAYER,Alexis Vega,Alexis Vega,Alexis Vega,27,18,Alexis Vega,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 19,PLAYER,Roberto Alvarado,Roberto Alvarado,Roberto Alvarado,28,19,Roberto Alvarado,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 20,PLAYER,Cesar Huerta,Cesar Huerta,Cesar Huerta,29,20,Cesar Huerta,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 1,BADGE,Emblem,Emblem,Emblem,30,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 2,PLAYER,Ronwen Williams,Ronwen Williams,Ronwen Williams,31,2,Ronwen Williams,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 3,PLAYER,Sipho Chaine,Sipho Chaine,Sipho Chaine,32,3,Sipho Chaine,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 4,PLAYER,Aubrey Modiba,Aubrey Modiba,Aubrey Modiba,33,4,Aubrey Modiba,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 5,PLAYER,Samukele Kabini,Samukele Kabini,Samukele Kabini,34,5,Samukele Kabini,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 6,PLAYER,Mbekezeli Mbokazi,Mbekezeli Mbokazi,Mbekezeli Mbokazi,35,6,Mbekezeli Mbokazi,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 7,PLAYER,Khulumani Ndamane,Khulumani Ndamane,Khulumani Ndamane,36,7,Khulumani Ndamane,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 8,PLAYER,Siyabonga Ngezana,Siyabonga Ngezana,Siyabonga Ngezana,37,8,Siyabonga Ngezana,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 9,PLAYER,Khuliso Mudau,Khuliso Mudau,Khuliso Mudau,38,9,Khuliso Mudau,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 10,PLAYER,Nkosinathi Sibisi,Nkosinathi Sibisi,Nkosinathi Sibisi,39,10,Nkosinathi Sibisi,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 11,PLAYER,Teboho Mokoena,Teboho Mokoena,Teboho Mokoena,40,11,Teboho Mokoena,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 12,PLAYER,Thalente Mbatha,Thalente Mbatha,Thalente Mbatha,41,12,Thalente Mbatha,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 13,TEAM,Team Photo,Team Photo,Team Photo,42,13,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 14,PLAYER,Bathusi Aubaas,Bathusi Aubaas,Bathusi Aubaas,43,14,Bathusi Aubaas,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 15,PLAYER,Yaya Sithole,Yaya Sithole,Yaya Sithole,44,15,Yaya Sithole,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 16,PLAYER,Sipho Mbule,Sipho Mbule,Sipho Mbule,45,16,Sipho Mbule,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 17,PLAYER,Lyle Foster,Lyle Foster,Lyle Foster,46,17,Lyle Foster,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 18,PLAYER,Iqraam Rayners,Iqraam Rayners,Iqraam Rayners,47,18,Iqraam Rayners,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 19,PLAYER,Mohau Nkota,Mohau Nkota,Mohau Nkota,48,19,Mohau Nkota,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,RSA,NATIONAL_TEAM,South Africa,South Africa,South Africa,RSA 20,PLAYER,Oswin Appollis,Oswin Appollis,Oswin Appollis,49,20,Oswin Appollis,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 1,BADGE,Emblem,Emblem,Emblem,50,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,KOR,NATIONAL_TEAM,South Korea,South Korea,South Korea,KOR 2,PLAYER,Hyeon-woo Jo,Hyeon-woo Jo,Hyeon-woo Jo,51,2,Hyeon-woo Jo,,
